uuid,level,name,std1,app1,app1(%),app2,app2(%),feat1,feat1(%),feat3,feat3(%),feat6,feat6(%),opt1,opt1(%),opt2,opt2(%),opt3,opt3(%)
00-fa03eb688ad8aa1db593d33dabd89bad,0,Root,203622,201293,-1.14,167667,-17.66,200444,-1.56,197008,-3.25,197897,-2.81,182908,-10.17,180890,-11.16,166754,-18.11
01-09498dbadf45966909850dc8a47ebb13,1,WORKSPACE,46320,43744,-5.56,,,43464,-6.17,43244,-6.64,43532,-6.02,43216,-6.7,,,,
01-60f3b1ff9b396408039047bbde339c46,1,(hidden),76991,80517,4.58,58846,-23.57,79929,3.82,76959,-0.04,76587,-0.52,61692,-19.87,74083,-3.78,58532,-23.98
01-665b1ea1222d25c5af30f0aec9f1f04e,1,(no paths),6853,6750,-1.5,108761,1487.06,6749,-1.52,6745,-1.58,6746,-1.56,6960,1.56,106747,1457.67,108162,1478.32
01-6666cd76f96956469e7be39d750cc7d9,1,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-7db78365898c456bd7c383d01c5a6853,1,OUTPUT_DIR,1126,1126,0.0,,,1126,0.0,1126,0.0,1126,0.0,1126,0.0,,,,
01-bb1836de191ead431509f5d1b910124d,1,ZEPHYR_BASE,72332,69156,-4.39,60,-99.92,69176,-4.36,68934,-4.7,69906,-3.35,69914,-3.34,60,-99.92,60,-99.92
02-00241e7c284b0f5b44c68e331c726b1c,2,__isr_table_entry__isr_wrapper_irq_190,,,,4,,,,,,,,,,,,4,0
02-002540331f8f99089dead307a29980cc,2,settings_handler_bt_hash,,,,24,,,,,,,,,,24,0,24,0
02-005f9c4aabe7c1f6e4cb1a2a20fbf487,2,buffer_alloc_free_mutexed,,,,284,,,,,,,,,,284,0,284,0
02-005fe9134a29cd288aeea5cf1e5986ea,2,__isr_table_entry_z_irq_spurious_irq_544,,,,8,,,,,,,,,,8,0,8,0
02-00ef09c2e25f909ec7e9eca35a6e746d,2,le_phy_updated,,,,16,,,,,,,,,,16,0,16,0
02-00f1bdab837355c64a5f0d1171a05837,2,__isr_table_entry_z_irq_spurious_irq_634,,,,8,,,,,,,,,,8,0,8,0
02-00fd4e6035795cbf69135294b386a8ed,2,read_str.lto_priv.0,,,,40,,,,,,,,,,40,0,40,0
02-0103d5b35b32f8f6c0f8482ab8e4e0fd,2,bt_addr_le_eq.lto_priv.0.lto_priv.0,,,,,,,,,,,,,,16,,,
02-012f242a94cb0fd78996cbe9db280012,2,sc_ccc_cfg_write,,,,30,,,,,,,,,,30,0,30,0
02-014a1df5d7122c71b59b185e524b5716,2,spi_nor_write_protection_set,,,,58,,,,,,,,,,58,0,58,0
02-018bd4a30a3c2892c1f60bdfaf32c6b1,2,bt_addr_le_copy.lto_priv.2.lto_priv.0,,,,14,,,,,,,,,,,,,
02-01aa60b45d76a1fcd9a9539c78b055dd,2,nrf_security_mutex_unlock,,,,4,,,,,,,,,,,,4,0
02-01d586031a5fccb720e110d5fa9eac38,2,frag_destroy,,,,64,,,,,,,,,,64,0,64,0
02-01e8805d904739930a18ac1df3a69c0e,2,__isr_table_entry_z_irq_spurious_irq_765,,,,8,,,,,,,,,,8,0,8,0
02-0205c20f57bcd2a43d106421e945d6d5,2,__isr_table_entry__isr_wrapper_irq_110,,,,4,,,,,,,,,,,,4,0
02-0208af371ed43a56c51a68c2925a3b94,2,__isr_table_entry__isr_wrapper_irq_128,,,,4,,,,,,,,,,,,4,0
02-02241d76b4edbd158875f3e34ffda394,2,__isr_table_entry__isr_wrapper_irq_104,,,,4,,,,,,,,,,,,4,0
02-0247dc05a1aa46ef081fb4d3476e306d,2,__isr_table_entry_z_irq_spurious_irq_724,,,,8,,,,,,,,,,8,0,8,0
02-024a7d6d3008244d625c8f5ca5bbde90,2,process_event.lto_priv.0,,,,540,,,,,,,,,,540,0,540,0
02-02572c1c037d2233e79207584ba16776,2,__isr_table_entry_z_irq_spurious_irq_551,,,,8,,,,,,,,,,8,0,8,0
02-02619a2e6232e82cfad34132f0c07736,2,bt_gatt_service_init.lto_priv.0,,,,60,,,,,,,,,,60,0,60,0
02-02634eff3c24742057ecacbee91c4bbd,2,buttons,,,,32,,,,,,,,,,32,0,32,0
02-02f7b03ba225b7bd6e784271b77db202,2,__isr_table_entry__isr_wrapper_irq_34,,,,4,,,,,,,,,,,,4,0
02-0300d5aad6862b5c6002a102b3e7b805,2,__init_k_sys_work_q_init,,,,8,,,,,,,,,,8,0,8,0
02-032d434ccce705cacca936b0e6dea69e,2,chunk_set,,,,22,,,,,,,,,,22,0,22,0
02-034ee5379ba7916e51e26a71fb099ac2,2,hci_id_add,,,,100,,,,,,,,,,100,0,100,0
