uuid,level,name,std1,app1,app1(%),app2,app2(%),feat1,feat1(%),feat3,feat3(%),feat6,feat6(%),opt1,opt1(%),opt2,opt2(%),opt3,opt3(%)
00-fa03eb688ad8aa1db593d33dabd89bad,0,Root,38687,39165,1.24,48265,24.76,39141,1.17,38361,-0.84,38385,-0.78,36753,-5.0,50517,30.58,47981,24.02
01-09498dbadf45966909850dc8a47ebb13,1,WORKSPACE,7873,8065,2.44,,,8049,2.24,7813,-0.76,7829,-0.56,7813,-0.76,,,,
01-60f3b1ff9b396408039047bbde339c46,1,(hidden),5492,6020,9.61,5834,6.23,6016,9.54,5492,0.0,5496,0.07,3892,-29.13,7867,43.24,5834,6.23
01-665b1ea1222d25c5af30f0aec9f1f04e,1,(no paths),11086,11094,0.07,42411,282.56,11090,0.04,11086,0.0,11090,0.04,11078,-0.07,42630,284.54,42127,280.0
01-6666cd76f96956469e7be39d750cc7d9,1,/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-bb1836de191ead431509f5d1b910124d,1,ZEPHYR_BASE,14236,13986,-1.76,20,-99.86,13986,-1.76,13970,-1.87,13970,-1.87,13970,-1.87,20,-99.86,20,-99.86
02-005fe9134a29cd288aeea5cf1e5986ea,2,__isr_table_entry_z_irq_spurious_irq_544,,,,8,,,,,,,,,,8,0,8,0
02-00f1bdab837355c64a5f0d1171a05837,2,__isr_table_entry_z_irq_spurious_irq_634,,,,8,,,,,,,,,,8,0,8,0
02-01e8805d904739930a18ac1df3a69c0e,2,__isr_table_entry_z_irq_spurious_irq_765,,,,8,,,,,,,,,,8,0,8,0
02-0247dc05a1aa46ef081fb4d3476e306d,2,__isr_table_entry_z_irq_spurious_irq_724,,,,8,,,,,,,,,,8,0,8,0
02-02572c1c037d2233e79207584ba16776,2,__isr_table_entry_z_irq_spurious_irq_551,,,,8,,,,,,,,,,8,0,8,0
02-02634eff3c24742057ecacbee91c4bbd,2,buttons,,,,32,,,,,,,,,,32,0,32,0
02-038cb18b7052e5590106f5aa9fefc998,2,__isr_table_entry_z_irq_spurious_irq_537,,,,8,,,,,,,,,,8,0,8,0
02-039b82b152daed85aa60790d974b612a,2,net_buf_fixed_hci_rx_pool,,,,4,,,,,,,,,,4,0,4,0
02-03d48c0543da06248a8d283a22d7e310,2,pub_key,,,,64,,,,,,,,,,64,0,64,0
02-03da88b3960003e51bc67c7bb0386999,2,sx_curve_nistp256,,,,12,,,,,,,,,,12,0,12,0
02-042a492975866170ef577577d7c7d916,2,key_pool.lto_priv.0,,,,128,,,,,,,,,,128,0,128,0
02-0465f9d9258d3ff16d4ab276b7ac447a,2,net_buf_fixed_cb,,,,12,,,,,,,,,,12,0,12,0
02-04c078d6acbd56aa06487fd064cc27a9,2,level_cpf,,,,8,,,,,,,,,,8,0,8,0
02-04c5e56a849bfb57dea8ad30f764276a,2,__isr_table_entry_z_irq_spurious_irq_784,,,,8,,,,,,,,,,8,0,8,0
02-04d41be17d5396292cd9b0d1cd79ffd3,2,__isr_table_entry_z_irq_spurious_irq_721,,,,8,,,,,,,,,,8,0,8,0
02-0534570bf1dfac0e94c2e536270fd3a9,2,m_lut.3,,,,12,,,,,,,,,,20,0,12,0
02-05533e7a0ea600c6bb6eb9a734919be1,2,gatt_conn_cb.0,36,40,11.11,40,11.11,40,11.11,36,0.0,36,0.0,36,0.0,36,0.0,36,0.0
02-05b67673090ed0a70a90af25b687a078,2,__isr_table_entry_z_irq_spurious_irq_693,,,,8,,,,,,,,,,8,0,8,0
02-05c2e88813a279f6dc7882ca1ec2ea7a,2,__isr_table_entry_z_irq_spurious_irq_640,,,,8,,,,,,,,,,8,0,8,0
02-07635adc1cf8a699e35294d8805d74b8,2,spi_nor_0_data,,,,32,,,,,,,,,,32,0,32,0
02-08ab7a81299f7f9c82673fb4be74aad7,2,__isr_table_entry_z_irq_spurious_irq_770,,,,8,,,,,,,,,,8,0,8,0
02-08d430dcd4a49c69816ff6914197cc5d,2,__isr_table_entry_z_irq_spurious_irq_617,,,,8,,,,,,,,,,8,0,8,0
02-08eb15ae38f1e2e90839bae4d3526534,2,__isr_table_entry_z_irq_spurious_irq_720,,,,8,,,,,,,,,,8,0,8,0
02-091b775a4b55c011411f48f9cc074841,2,__isr_table_entry_z_irq_spurious_irq_705,,,,8,,,,,,,,,,8,0,8,0
02-093fb9fd7ac90b24c42f02a717915a96,2,bt_smp_pool,,,,752,,,,,,,,,,752,0,752,0
02-0a1fca5018224df01fccd9049c2f4ecf,2,__isr_table_entry_z_irq_spurious_irq_628,,,,8,,,,,,,,,,8,0,8,0
02-0a4338ea3651b750487758d27cb904c1,2,ops.0,40,40,0.0,,,40,0.0,40,0.0,40,0.0,40,0.0,,,,
02-0a9182c80cff8acfa39a44ea86613056,2,conn_tx,,,,24,,,,,,,,,,24,0,24,0
02-0ace0db909023ba85024f09916ecee6c,2,__isr_table_entry_z_irq_spurious_irq_775,,,,8,,,,,,,,,,8,0,8,0
02-0bb404d52f0eeefdd34e968ccd87c99e,2,__isr_table_entry_z_irq_spurious_irq_757,,,,8,,,,,,,,,,8,0,8,0
02-0cb15fa9e1d6008c9f7c207636e458c8,2,delay_machine_code.0.lto_priv.0,,,,6,,,,,,,,,,6,0,6,0
02-0d24bb48eb167ed47ea80f3769cbb936,2,slice_timeouts,,,,24,,,,,,,,,,24,0,24,0
02-0dff49faf0f543995117aa5f1f7c8fae,2,mbedtls_threading_psa_globaldata_mutex,,,,20,,,,,,,,,,20,0,20,0
