-- west build: running target rom_report
[0/1] cmd.exe /C "cd /D C:\ncs\vturkana\nrf\samples\logi_reference\p_hids_keyb\build_nrf54l15_std1_release\p_hids_keyb && C:\ncs\toolchains\b620d30767\opt\bin\python.exe C:/ncs/vturkana/zephyr/scripts/footprint/size_report -k C:/ncs/vturkana/nrf/samples/logi_reference/p_hids_keyb/build_nrf54l15_std1_release/p_hids_keyb/zephyr/zephyr.elf -z C:/ncs/vturkana/zephyr -o C:/ncs/vturkana/nrf/samples/logi_reference/p_hids_keyb/build_nrf54l15_std1_release/p_hids_keyb --workspace=C:/ncs/vturkana -d 99 rom"
WARN: Symbol 'errno' section '.comment' is not in RAM or ROM.
WARN: Symbol 'z_tls_current' section '' is not in RAM or ROM.
Path                                                                                             Size       %  Address    Section    
==========================================================================================================================================
Root                                                                                           145899 100.00%  - 
├── (hidden)                                                                                     1117   0.77%  - 
├── (no paths)                                                                                 144780  99.23%  - 
│   ├── CMD_ECC_PTMUL.lto_priv.0                                                                   20   0.01%  0x00028be4 rodata
│   ├── CMD_ECC_PTONCURVE                                                                          20   0.01%  0x000290f8 rodata
│   ├── CSWTCH.102                                                                                  5   0.00%  0x00029060 rodata
│   ├── CSWTCH.103                                                                                  5   0.00%  0x00029058 rodata
│   ├── CSWTCH.104                                                                                  5   0.00%  0x00029050 rodata
│   ├── CSWTCH.105                                                                                  5   0.00%  0x00029048 rodata
│   ├── CSWTCH.150                                                                                 15   0.01%  0x00028d20 rodata
│   ├── CSWTCH.152                                                                                  9   0.01%  0x00028c30 rodata
│   ├── CSWTCH.155                                                                                  8   0.01%  0x00028d30 rodata
│   ├── CSWTCH.22                                                                                   3   0.00%  0x00029390 rodata
│   ├── CSWTCH.305                                                                                  3   0.00%  0x00028ae4 rodata
│   ├── CSWTCH.312.lto_priv.0                                                                      42   0.03%  0x00028ab8 rodata
│   ├── CSWTCH.34                                                                                   3   0.00%  0x000291f4 rodata
│   ├── CSWTCH.40                                                                                   4   0.00%  0x000291cc rodata
│   ├── CSWTCH.44                                                                                  12   0.01%  0x00029094 rodata
│   ├── CSWTCH.64                                                                                   6   0.00%  0x000297cc rodata
│   ├── SystemCoreClock                                                                             4   0.00%  0x2000035c datas
│   ├── SystemInit                                                                                248   0.17%  0x00011e29 text
│   ├── _1_gatt_svc                                                                                 8   0.01%  0x00028780 bt_gatt_service_static_area
│   ├── _2_gap_svc                                                                                  8   0.01%  0x00028788 bt_gatt_service_static_area
│   ├── _ConfigAbsSyms                                                                              2   0.00%  0x0002313d text
│   ├── __NVIC_DisableIRQ.lto_priv.0                                                               36   0.02%  0x00008839 text
│   ├── __NVIC_EnableIRQ.lto_priv.0                                                                28   0.02%  0x0000881d text
│   ├── __NVIC_GetPriority                                                                         36   0.02%  0x0001ba11 text
│   ├── __NVIC_SetPriority.lto_priv.0.lto_priv.0                                                   40   0.03%  0x0000885d text
│   ├── __NVIC_SystemReset.lto_priv.1.lto_priv.0                                                   36   0.02%  0x00016af1 text
│   ├── ___HAL_RCS_RADIO_TX_END_TO_CARRIER_NS                                                       6   0.00%  0x000297d4 rodata
│   ├── ___HAL_RCS_RADIO_TX_IDLE_TO_TX_NS                                                           6   0.00%  0x000297dc rodata
│   ├── ___HAL_RCS_RADIO_TX_STARTUP_LATENCY_NS                                                     12   0.01%  0x00029850 rodata
│   ├── __aeabi_ldiv0                                                                               2   0.00%  0x00007cb1 text
│   ├── __aeabi_memcpy8                                                                            26   0.02%  0x0002844f text
│   ├── __compound_literal.0                                                                        8   0.01%  0x00028e60 rodata
│   ├── __compound_literal.0.lto_priv.1.lto_priv.0                                                  4   0.00%  0x00028b18 rodata
│   ├── __compound_literal.0.lto_priv.2                                                             4   0.00%  0x000293e0 rodata
│   ├── __compound_literal.0.lto_priv.3                                                             4   0.00%  0x000294b0 rodata
│   ├── __compound_literal.0.lto_priv.4                                                             4   0.00%  0x00029540 rodata
│   ├── __compound_literal.1                                                                        8   0.01%  0x00028e74 rodata
│   ├── __compound_literal.1.lto_priv.0                                                             4   0.00%  0x000293dc rodata
│   ├── __compound_literal.1.lto_priv.1                                                             4   0.00%  0x000294ac rodata
│   ├── __compound_literal.1.lto_priv.2                                                             4   0.00%  0x000297a0 rodata
│   ├── __compound_literal.1.lto_priv.3                                                             4   0.00%  0x0002953c rodata
│   ├── __compound_literal.10.lto_priv.0                                                            4   0.00%  0x000293c8 rodata
│   ├── __compound_literal.10.lto_priv.1                                                            4   0.00%  0x00029528 rodata
│   ├── __compound_literal.11.lto_priv.0                                                            4   0.00%  0x000293c0 rodata
│   ├── __compound_literal.11.lto_priv.1                                                            4   0.00%  0x00029520 rodata
│   ├── __compound_literal.12.lto_priv.0                                                            8   0.01%  0x20000cbc datas
│   ├── __compound_literal.12.lto_priv.1                                                            8   0.01%  0x20000d28 datas
│   ├── __compound_literal.13.lto_priv.0                                                            4   0.00%  0x000293c4 rodata
│   ├── __compound_literal.13.lto_priv.1                                                            4   0.00%  0x00029524 rodata
│   ├── __compound_literal.14                                                                       4   0.00%  0x00028bd0 rodata
│   ├── __compound_literal.15                                                                       4   0.00%  0x00028bcc rodata
│   ├── __compound_literal.16                                                                       4   0.00%  0x00028bc8 rodata
│   ├── __compound_literal.17                                                                       4   0.00%  0x00028bbc rodata
│   ├── __compound_literal.18                                                                       8   0.01%  0x200006b0 datas
│   ├── __compound_literal.19                                                                       4   0.00%  0x00028bc4 rodata
│   ├── __compound_literal.2                                                                        2   0.00%  0x200002c0 datas
│   ├── __compound_literal.2.lto_priv.0                                                             4   0.00%  0x000293d8 rodata
│   ├── __compound_literal.2.lto_priv.1                                                             4   0.00%  0x000294a8 rodata
│   ├── __compound_literal.2.lto_priv.2                                                             4   0.00%  0x0002979c rodata
│   ├── __compound_literal.2.lto_priv.3                                                             4   0.00%  0x00029538 rodata
