uuid,level,name,std2.8.0,std2.9.0,std2.9.0(%),std3.0.1,std3.0.1(%)
00-fa03eb688ad8aa1db593d33dabd89bad,0,Root,40836,40836,0.0,41533,1.71
01-09498dbadf45966909850dc8a47ebb13,1,WORKSPACE,9582,9582,0.0,9105,-4.98
01-60f3b1ff9b396408039047bbde339c46,1,(hidden),5393,5393,0.0,5705,5.79
01-665b1ea1222d25c5af30f0aec9f1f04e,1,(no paths),7590,7590,0.0,11156,46.98
01-6666cd76f96956469e7be39d750cc7d9,1,/,0,0,0,0,0
01-bb1836de191ead431509f5d1b910124d,1,ZEPHYR_BASE,18271,18271,0.0,15567,-14.8
02-0437ea27f8035e08d78a97e243d9c39f,2,hci_buf.0,74,74,0.0,,
02-05533e7a0ea600c6bb6eb9a734919be1,2,gatt_conn_cb.0,36,36,0.0,36,0.0
02-0a4338ea3651b750487758d27cb904c1,2,ops.0,40,40,0.0,40,0.0
02-0db62b86e8f39f5607bcfdae9cf94f3c,2,wait_q.0,8,8,0.0,,
02-0eb9b3af2e4a00837a1b1a854c9ea18c,2,modules,1860,1860,0.0,1904,2.37
02-0ec3ac2054d4681e6c9d4825765209ee,2,z_idle_threads,144,144,0.0,144,0.0
02-1094c50e30c0bef11e77f3a92e17d2f9,2,_sched_spinlock,4,4,0.0,4,0.0
02-1acd1f648b570c729a904a7c2fa45dfc,2,__compound_literal*,731,731,0.0,731,0.0
02-2f158c4731d76d5975b8546d85de1b34,2,C:\,916,916,0.0,936,2.18
02-316e7f39b0580b06e68ccd7c94a1d88b,2,str.3,129,129,0.0,129,0.0
02-38d7b76b771634bb6aaae4ffde5922a8,2,_sw_isr_table,2168,2168,0.0,2168,0.0
02-3b8238b190187fceef29c292cb88b526,2,z_main_stack,,,,3584,
02-3cca42c4f48f32184dc7d459a6842407,2,z_main_thread,144,144,0.0,144,0.0
02-44f0cbab43d4061c1dc047bd6a579531,2,sym_*,943,943,0.0,943,0.0
02-47352518f90e6887f4dd7acbc9a14580,2,settings_load_srcs,8,8,0.0,8,0.0
02-50484c19f1afdaf3841a0d821ed393d2,2,kernel,6042,6042,0.0,2462,-59.25
02-6132bca83a4cd9c08eb8504f1f608b68,2,last_state.0,4,4,0.0,4,0.0
02-65e3af4198a3ba671730e5a1254a1758,2,z_interrupt_stacks,2048,2048,0.0,2048,0.0
02-71d3af2db695ec20f3c4af8748546da1,2,k_sys_work_q,176,176,0.0,176,0.0
02-735c4efa6ac3e1e45b1ae2a70a62f44d,2,mpsl_work_q,176,176,0.0,176,0.0
02-7453818a81866954dbc648cc19b78a73,2,cli.1,16,16,0.0,16,0.0
02-792cdbb2ff2168ced5d2267c5da659ca,2,last_button_scan.1,4,4,0.0,4,0.0
02-7d0d4e9e9148e130857ddb83462522b5,2,_kernel,32,32,0.0,32,0.0
02-7dfd0916e87aaa90a45bf1ec3391e970,2,subsys,11382,11382,0.0,12254,7.66
02-84917115db7fc982cd67bd759fd0890c,2,SystemCoreClock,4,4,0.0,4,0.0
02-89a59689861225eb508a89e526638dd8,2,bt_dev,376,376,0.0,376,0.0
02-8a1075be9012a6c1ab97401581fed081,2,on.2,4,4,0.0,4,0.0
02-97fdda5ddec91d156757bd4878d58731,2,settings_handlers,8,8,0.0,8,0.0
02-99b40c02b326985044c94c234b7a5e64,2,chr.1,4,4,0.0,4,0.0
02-9b8c441126f7e441abf32b52812793ed,2,gatt_conn_auth_info_cb.1,16,16,0.0,16,0.0
02-9eccfb3fed0ccddd3f9432f64b447ee8,2,settings_save_dst,4,4,0.0,4,0.0
02-a914696b42ed6ea44809293ab6ef0076,2,ident.1,1,1,0.0,1,0.0
02-b025e351d7adc20ce0f7335384bc5de7,2,str.1,30,30,0.0,30,0.0
02-c8599d1502023c7d601ea24660fc9a5c,2,_thread_dummy,144,144,0.0,144,0.0
02-ccee81d8756473fc081dc0c67d5c05a2,2,initial_run.2,1,1,0.0,1,0.0
02-d3f48812cd481e287e743eff085eba44,2,pub_key_cb.0,8,8,0.0,,
02-d6194c68fcc7e79bb57401be603cb1cc,2,arch,25,25,0.0,25,0.0
02-d6cd44b3118dea63c3942bd300bb4c20,2,bt_auth,4,4,0.0,4,0.0
02-db375c9de329a5b90a323d5da44a5333,2,kmu_push_area,,,,64,
02-df0893220c993ffbeb28b75726e081f7,2,nrf,7722,7722,0.0,7201,-6.75
02-e8acc63b1e238f3255c900eed37254b8,2,lib,40,40,0.0,44,10.0
02-ee5fe10904086488b93783648af4b107,2,cracen_initialized.0,4,4,0.0,4,0.0
02-f482ec256e165edc8cb7451e00b2cf17,2,default_settings_zms.0,88,88,0.0,96,9.09
02-fa9e63a66e9a24db464c4453be0a6004,2,pairing_button_pressed.2,1,1,0.0,1,0.0
02-fb7868f2cd2eaa173f016604805aab49,2,bt_auth_info_cbs,8,8,0.0,8,0.0
02-fe69fd0a878b10d190c924b2398bad9c,2,drivers,782,782,0.0,782,0.0
03-020a8cfa922969a0b9035333f45988c3,3,ncs,916,916,0.0,936,2.18
03-0b0760e072413088ea8460c3b4f43dbe,3,spi,276,276,0.0,276,0.0
03-1cb1159e7da1396bb694434a958c45ce,3,init.c,3905,3905,0.0,321,-91.78
03-20a2fb1756e57575dd4d370cac1f07a7,3,condvar.c,,,,4,
03-213c7980207cea7201cff8d664caf150,3,clock_control,94,94,0.0,94,0.0
03-220b2a9ccbd0bf6d61dd085da17c5380,3,work.c,12,12,0.0,12,0.0
03-225e8a3fe20e95f6cd9b9e10bfe5eb69,3,adc,178,178,0.0,178,0.0
03-239d44f09ba4c853288f72de00e8538b,3,timeout.c,24,24,0.0,24,0.0
03-261ec5b4f78e6414af1f2102e74f4980,3,mutex.c,4,4,0.0,4,0.0
03-2b3583e6e17721c54496bd04e57a0c15,3,utils,,,,4,
03-2c127bf32ccb4edf2bf22fea5a00e494,3,timer,28,28,0.0,28,0.0
03-2e5d8aa3dfa8ef34ca5131d20f9dad51,3,settings,41,41,0.0,49,19.51
03-37a184204b9448f00fb83003d8a6cc69,3,entropy,4,4,0.0,4,0.0
03-5ae9b7f211e23aac3df5f2b8f3b8eada,3,crypto,1428,1428,0.0,1472,3.08
03-74136b24217cb75599440e6e1d807cf7,3,serial,12,12,0.0,12,0.0
03-75cd9b613b8633e4c20e9b5020da2011,3,timer.c,4,4,0.0,4,0.0
03-7764e463c73a54e4bb79b9b9e419e145,3,pwm,18,18,0.0,18,0.0
03-7abb446738b4dfa1b0d7734371b8946e,3,net_buf,4,4,0.0,4,0.0
03-7dfd0916e87aaa90a45bf1ec3391e970,3,subsys,7528,7528,0.0,7007,-6.92
03-820f20aaff1a08fa09ed2471da8e8e10,3,sem.c,4,4,0.0,4,0.0
03-955871c9778abe2297251e689899dcdc,3,gpio,42,42,0.0,42,0.0
03-9abfc3fa0a586782b875ee02ad45dcd8,3,bluetooth,11341,11341,0.0,12205,7.62
03-a39401275d1b300aa789fb22aea4148a,3,flash,60,60,0.0,60,0.0
03-ab36abef0cdebd2f84424ad4d17e286b,3,i2c,70,70,0.0,70,0.0
03-bda16fa0e64e7aad8ddd86b71b0c308c,3,system_work_q.c,2048,2048,0.0,2048,0.0
03-c80a73b78d3d460ce9f1d222a87714b0,3,poll.c,4,4,0.0,4,0.0
03-cde9e8dec3ca8de88aa6cf61c1c0252c,3,hal,432,432,0.0,432,0.0
03-dd302f94682dbd2a114d63b0433602e0,3,os,4,4,0.0,4,0.0
03-e5823ba08cf6f8acc6662017ec572078,3,libc,32,32,0.0,32,0.0
03-e8acc63b1e238f3255c900eed37254b8,3,lib,122,122,0.0,122,0.0
03-f843a7390a4012d214747466b1f97def,3,timeslicing.c,37,37,0.0,37,0.0
03-f926b3e222d7afee57071b2256839701,3,arm,25,25,0.0,25,0.0
03-fe69fd0a878b10d190c924b2398bad9c,3,drivers,72,72,0.0,72,0.0
04-0186b62759bfbbf56bb8eed4d5fcd7bd,4,oberon-psa-crypto,1428,1428,0.0,1432,0.28
04-0d24bb48eb167ed47ea80f3769cbb936,4,slice_timeouts,24,24,0.0,24,0.0
04-10cd395cf71c18328c863c08e78f3fd0,4,services,8,8,0.0,8,0.0
04-17f3c8150bbe6d2746c1b69a8505383b,4,timeout_list,8,8,0.0,8,0.0
04-1ef7df50f8a76aca9ea976aa58a42ebb,4,printk.c,4,4,0.0,4,0.0
04-226fdad7607bd525becdb0fb68597472,4,i2c_nrfx_twim.c,70,70,0.0,70,0.0
04-25d902c24283ab8cfbac54dfa101ad31,4,src,41,41,0.0,49,19.51
04-2e10bb7c02d5c459836c8933d6424935,4,multithreading_lock,20,20,0.0,20,0.0
04-2ffb61b364295a5cf961cd73ea5becfa,4,slice_max_prio,4,4,0.0,4,0.0
04-3b8238b190187fceef29c292cb88b526,4,z_main_stack,3584,3584,0.0,,
04-3fad692e69c65bb501e42fc26a64a87c,4,pwm_nrfx.c,18,18,0.0,18,0.0
