-- west build: running target rom_report
[0/1] cmd.exe /C "cd /D C:\ncs\ws-turkana\logi_reference\p_hids_keyb\build_nrf54l15_std1\p_hids_keyb && C:\ncs\toolchains\b620d30767\opt\bin\python.exe C:/ncs/vturkana/zephyr/scripts/footprint/size_report -k C:/ncs/ws-turkana/logi_reference/p_hids_keyb/build_nrf54l15_std1/p_hids_keyb/zephyr/zephyr.elf -z C:/ncs/vturkana/zephyr -o C:/ncs/ws-turkana/logi_reference/p_hids_keyb/build_nrf54l15_std1/p_hids_keyb --workspace=C:/ncs/vturkana -d 99 rom"
Path                                                                                             Size       %  Address    Section    
==========================================================================================================================================
Root                                                                                           236508 100.00%  - 
├── (hidden)                                                                                    94354  39.89%  - 
├── (no paths)                                                                                   6960   2.94%  - 
│   ├── CSWTCH.11                                                                                  12   0.01%  0x0003281c rodata
│   ├── CSWTCH.12                                                                                  58   0.02%  0x00031c22 rodata
│   ├── CSWTCH.120                                                                                  3   0.00%  0x00031d50 rodata
│   ├── CSWTCH.127                                                                                  4   0.00%  0x00031d38 rodata
│   ├── CSWTCH.130                                                                                 16   0.01%  0x00031ee4 rodata
│   ├── CSWTCH.139                                                                                  4   0.00%  0x00031ccb rodata
│   ├── CSWTCH.144                                                                                  4   0.00%  0x00031caa rodata
│   ├── CSWTCH.1528                                                                                12   0.01%  0x000328a4 rodata
│   ├── CSWTCH.1535                                                                                12   0.01%  0x00032898 rodata
│   ├── CSWTCH.15551                                                                                3   0.00%  0x00035df0 rodata
│   ├── CSWTCH.15558                                                                               42   0.02%  0x00035dc6 rodata
│   ├── CSWTCH.15586                                                                               10   0.00%  0x00035dbc rodata
│   ├── CSWTCH.163                                                                                  4   0.00%  0x00031ac8 rodata
│   ├── CSWTCH.171                                                                                  8   0.00%  0x00031edc rodata
│   ├── CSWTCH.176                                                                                  4   0.00%  0x00031a40 rodata
│   ├── CSWTCH.18                                                                                   3   0.00%  0x00031f2c rodata
│   ├── CSWTCH.18                                                                                   8   0.00%  0x00031f48 rodata
│   ├── CSWTCH.19                                                                                  12   0.01%  0x00032734 rodata
│   ├── CSWTCH.20                                                                                   8   0.00%  0x00031f50 rodata
│   ├── CSWTCH.21                                                                                   8   0.00%  0x00031f58 rodata
│   ├── CSWTCH.2163                                                                                12   0.01%  0x0003279c rodata
│   ├── CSWTCH.2191                                                                                12   0.01%  0x00032790 rodata
│   ├── CSWTCH.22                                                                                  12   0.01%  0x00032728 rodata
│   ├── CSWTCH.22                                                                                   3   0.00%  0x000388ec rodata
│   ├── CSWTCH.29                                                                                   4   0.00%  0x00031cb0 rodata
│   ├── CSWTCH.3                                                                                    4   0.00%  0x00031f28 rodata
│   ├── CSWTCH.30                                                                                   7   0.00%  0x00031f78 rodata
│   ├── CSWTCH.303                                                                                  4   0.00%  0x00031c84 rodata
│   ├── CSWTCH.312                                                                                  3   0.00%  0x00031c88 rodata
│   ├── CSWTCH.32                                                                                   3   0.00%  0x00031cc8 rodata
│   ├── CSWTCH.327                                                                                  9   0.00%  0x00031b9f rodata
│   ├── CSWTCH.33                                                                                  18   0.01%  0x0003881b rodata
│   ├── CSWTCH.338                                                                                  3   0.00%  0x00031b9c rodata
│   ├── CSWTCH.34                                                                                   3   0.00%  0x00031df4 rodata
│   ├── CSWTCH.35                                                                                   4   0.00%  0x00031bd8 rodata
│   ├── CSWTCH.36                                                                                   3   0.00%  0x00038883 rodata
│   ├── CSWTCH.36                                                                                   4   0.00%  0x00031a7a rodata
│   ├── CSWTCH.37                                                                                   4   0.00%  0x00031bdc rodata
│   ├── CSWTCH.38                                                                                   4   0.00%  0x00031a76 rodata
│   ├── CSWTCH.380                                                                                  4   0.00%  0x00031b62 rodata
│   ├── CSWTCH.382                                                                                  3   0.00%  0x00031b6c rodata
│   ├── CSWTCH.390                                                                                  5   0.00%  0x00031b74 rodata
│   ├── CSWTCH.391                                                                                  5   0.00%  0x00031b6f rodata
│   ├── CSWTCH.392                                                                                  5   0.00%  0x00031b79 rodata
│   ├── CSWTCH.393                                                                                  5   0.00%  0x00031b7e rodata
│   ├── CSWTCH.4                                                                                    4   0.00%  0x0003488a rodata
│   ├── CSWTCH.40                                                                                   4   0.00%  0x00031dec rodata
│   ├── CSWTCH.41                                                                                   9   0.00%  0x00031b58 rodata
│   ├── CSWTCH.43                                                                                  12   0.01%  0x000326d4 rodata
│   ├── CSWTCH.46                                                                                   4   0.00%  0x00031df0 rodata
│   ├── CSWTCH.474                                                                                 18   0.01%  0x00038768 rodata
│   ├── CSWTCH.489                                                                                 20   0.01%  0x000328b0 rodata
│   ├── CSWTCH.568                                                                                  3   0.00%  0x00031a73 rodata
│   ├── CSWTCH.6                                                                                   12   0.01%  0x00032828 rodata
│   ├── CSWTCH.6                                                                                    4   0.00%  0x00031ae0 rodata
│   ├── CSWTCH.61                                                                                  12   0.01%  0x000326c8 rodata
│   ├── CSWTCH.61                                                                                   8   0.00%  0x00031b3c rodata
│   ├── CSWTCH.64                                                                                   3   0.00%  0x00031e18 rodata
│   ├── CSWTCH.64                                                                                   6   0.00%  0x00032093 rodata
│   ├── CSWTCH.72                                                                                   3   0.00%  0x00031a87 rodata
│   ├── CSWTCH.8123                                                                                15   0.01%  0x000376d8 rodata
│   ├── CSWTCH.8125                                                                                 9   0.00%  0x000376cf rodata
│   ├── CSWTCH.8128                                                                                 8   0.00%  0x000376c7 rodata
│   ├── CSWTCH.858                                                                                 12   0.01%  0x0003288c rodata
│   ├── CSWTCH.8620                                                                                36   0.02%  0x000323a0 rodata
│   ├── CSWTCH.884                                                                                 12   0.01%  0x00032880 rodata
│   ├── CSWTCH.94                                                                                   4   0.00%  0x00031e0c rodata
│   ├── CSWTCH.96                                                                                   4   0.00%  0x00031a80 rodata
│   ├── SystemCoreClock                                                                             4   0.00%  0x20000728 datas
│   ├── __compound_literal.0                                                                        4   0.00%  0x00033e70 rodata
│   ├── __compound_literal.0                                                                        4   0.00%  0x00033e8c rodata
│   ├── __compound_literal.0                                                                        4   0.00%  0x00033ea0 rodata
│   ├── __compound_literal.0                                                                        4   0.00%  0x00033efc rodata
│   ├── __compound_literal.0                                                                        8   0.00%  0x00032814 rodata
│   ├── __compound_literal.1                                                                        4   0.00%  0x00033e6c rodata
│   ├── __compound_literal.1                                                                        4   0.00%  0x00033e88 rodata
│   ├── __compound_literal.1                                                                        4   0.00%  0x00033e9c rodata
│   ├── __compound_literal.1                                                                        4   0.00%  0x00033ef8 rodata
│   ├── __compound_literal.10                                                                       4   0.00%  0x00033e50 rodata
│   ├── __compound_literal.10                                                                       4   0.00%  0x00033edc rodata
│   ├── __compound_literal.11                                                                       4   0.00%  0x00033e4c rodata
